Name,Nationality,Position,Club,Overall Rating,Pace,Shooting,Passing,Dribbling,Defending,Physical,Age
Lionel Messi,Argentina,Forward,Inter Miami,91,82,90,91,95,38,64,36
Cristiano Ronaldo,Portugal,Forward,Al-Nassr,89,84,94,82,87,35,77,36
Kylian Mbappé,France,Forward,Real Madrid,92,98,89,85,94,39,80,39
Neymar Jr,Brazil,Forward,Santos,89,88,85,88,93,38,63,39
Erling Haaland,Norway,Forward,Manchester City,91,94,94,75,83,42,89,21
Kevin De Bruyne,Belgium,Midfielder,Manchester City,91,76,85,94,87,62,78,22
Luka Modrić,Croatia,Midfielder,Real Madrid,88,74,78,92,89,66,64,30
Robert Lewandowski,Poland,Forward,Barcelona,91,78,95,83,86,45,85,40
Karim Benzema,France,Forward,Al-Ittihad,91,77,92,84,87,42,78,34
Virgil van Dijk,Netherlands,Defender,Liverpool,90,76,62,72,69,93,92,31
Alisson Becker,Brazil,Goalkeeper,Liverpool,89,54,22,40,55,88,85,34
Thibaut Courtois,Belgium,Goalkeeper,Real Madrid,90,50,19,39,52,91,86,23
Manuel Neuer,Germany,Goalkeeper,Bayern Munich,89,52,24,43,58,90,84,28
Marc-André ter Stegen,Germany,Goalkeeper,Barcelona,89,50,22,41,55,89,83,21
Ederson,Brazil,Goalkeeper,Manchester City,88,60,22,45,56,86,85,36
Jan Oblak,Slovenia,Goalkeeper,Atlético Madrid,89,48,20,42,54,90,86,25
João Cancelo,Portugal,Defender,Barcelona,88,85,75,86,86,80,72,36
Achraf Hakimi,Morocco,Defender,PSG,86,95,72,79,85,76,75,30
Jude Bellingham,England,Midfielder,Real Madrid,88,78,80,86,87,76,79,19
Pedri,Spain,Midfielder,Barcelona,86,79,70,88,90,58,64,27
Rodri,Spain,Midfielder,Manchester City,88,64,72,86,80,87,84,23
Joshua Kimmich,Germany,Midfielder,Bayern Munich,89,72,76,91,85,82,78,30
Casemiro,Brazil,Midfielder,Manchester United,89,63,75,82,77,91,88,20
Trent Alexander-Arnold,England,Defender,Liverpool,87,76,72,92,85,65,70,25
Andrew Robertson,Scotland,Defender,Liverpool,86,85,68,82,79,82,76,19
Antonio Rüdiger,Germany,Defender,Real Madrid,87,81,48,72,65,89,86,24
Matthijs de Ligt,Netherlands,Defender,Bayern Munich,86,75,52,72,68,88,86,27
Rafael Leão,Portugal,Forward,AC Milan,86,95,80,78,90,40,72,25
Vinícius Jr,Brazil,Forward,Real Madrid,89,96,80,78,94,42,76,36
Bruno Fernandes,Portugal,Midfielder,Manchester United,88,72,84,90,85,65,72,38
Bernardo Silva,Portugal,Midfielder,Manchester City,89,79,76,91,92,58,65,33
Paulo Dybala,Argentina,Forward,Roma,86,83,84,88,89,45,68,29
Jack Grealish,England,Midfielder,Manchester City,86,79,74,84,90,48,66,30
Heung-min Son,South Korea,Forward,Tottenham,88,91,89,83,88,45,76,38
Mohamed Salah,Egypt,Forward,Liverpool,91,94,91,83,91,47,79,33
Sadio Mané,Senegal,Forward,Al-Nassr,88,93,85,80,88,52,76,28
Bukayo Saka,England,Forward,Arsenal,86,88,80,82,89,55,72,34
Ousmane Dembélé,France,Forward,PSG,86,96,77,79,91,42,70,25
Khvicha Kvaratskhelia,Georgia,Forward,Napoli,87,92,78,82,92,48,74,20
Nicolò Barella,Italy,Midfielder,Inter Milan,88,82,75,85,86,78,74,19
Christopher Nkunku,France,Forward,Chelsea,87,90,84,80,88,55,75,21
Declan Rice,England,Midfielder,Arsenal,88,72,65,82,77,87,84,23
Lautaro Martínez,Argentina,Forward,Inter Milan,87,86,86,76,84,45,78,22
Sergej Milinković-Savić,Serbia,Midfielder,Al-Hilal,86,68,78,84,78,84,88,26
Riyad Mahrez,Algeria,Forward,Al-Ahli,86,82,78,82,90,42,68,29
James Maddison,England,Midfielder,Tottenham,86,76,79,87,85,54,70,22
Martin Ødegaard,Norway,Midfielder,Arsenal,88,78,76,91,90,52,68,22
Federico Valverde,Uruguay,Midfielder,Real Madrid,88,88,80,85,85,80,80,22
Mason Mount,England,Midfielder,Manchester United,85,77,75,85,83,50,72,27
Eduardo Camavinga,France,Midfielder,Real Madrid,85,82,65,80,82,79,82,23
Gavi,Spain,Midfielder,Barcelona,85,78,72,82,85,75,76,18
William Saliba,France,Defender,Arsenal,86,80,50,70,75,88,85,18
Kim Min-jae,South Korea,Defender,Bayern Munich,87,78,45,68,70,90,89,30
Éder Militão,Brazil,Defender,Real Madrid,87,88,52,72,75,90,86,38
Vinícius Júnior,Brazil,Forward,Real Madrid,90,95,82,78,92,40,70,35
Lamine Yamal,Spain,Forward,Barcelona,87,92,80,83,90,45,70,19
Florian Wirtz,Germany,Midfielder,Bayer Leverkusen,86,82,78,86,88,50,68,24
Dani Carvajal,Spain,Defender,Real Madrid,85,80,70,82,85,80,78,31
Harry Kane,England,Forward,Bayern Munich,90,80,92,85,85,45,82,36
Timo Werner,Germany,Forward,Chelsea,84,92,85,78,87,39,76,29
Gerard Moreno,Spain,Forward,Villarreal,84,80,83,79,85,40,72,36
Ayoze Pérez,Spain,Forward,Real Betis,81,85,78,73,79,28,66,21
Fabián Ruiz,Spain,Midfielder,PSG,84,75,70,85,88,57,72,37
Mikel Oyarzabal,Spain,Forward,Real Sociedad,83,81,80,78,83,38,72,32
Raheem Sterling,England,Forward,Chelsea,84,93,85,77,87,31,71,21
Héctor Bellerín,Spain,Defender,Real Betis,81,90,56,62,75,79,69,21
Ben White,England,Defender,Arsenal,81,79,40,62,70,82,76,31
Wilfred Ndidi,Nigeria,Midfielder,Leicester City,84,77,62,77,76,82,82,28
Alexandre Lacazette,France,Forward,Olympique Lyon,83,75,81,74,77,32,74,30
Dani Olmo,Spain,Forward,Leipzig,84,82,78,83,86,33,70,33
Yassine Bounou,Morocco,Goalkeeper,Sevilla,81,45,20,36,50,82,85,28
Kingsley Coman,France,Forward,Bayern Munich,84,93,80,75,85,30,73,40
Julian Brandt,Germany,Midfielder,Bayer Leverkusen,84,86,71,79,87,41,74,24
Luka Jovic,Serbia,Forward,AS Roma,81,78,84,74,77,35,68,26
Sergio Busquets,Spain,Midfielder,Barcelona,83,56,55,87,85,61,73,30
Carlos Soler,Spain,Midfielder,PSG,83,75,72,80,83,47,69,33
André Onana,Cameroon,Goalkeeper,Manchester United,83,46,15,36,53,86,87,29
Joaquín,Santos,Forward,Real Betis,81,78,79,74,82,37,69,19
Nicolas Pépé,Ivory Coast,Forward,Olympique Marseille,83,87,80,75,85,32,70,24
Martin Braithwaite,Denmark,Forward,Espanyol,81,78,73,74,77,38,68,36
Franck Kessié,Ivory Coast,Midfielder,Barcelona,82,76,70,78,82,71,79,26
Moussa Diaby,France,Forward,Bayer Leverkusen,84,95,83,75,86,32,72,29
Juan Cuadrado,Colombia,Forward,Juventus,83,84,79,74,80,39,72,22
Arthur Melo,Brazil,Midfielder,Juventus,82,68,60,79,84,58,72,22
Mason Greenwood,England,Forward,Manchester United,82,83,75,71,80,28,69,37
Danilo,Portugal,Defender,Juventus,83,72,45,67,74,84,80,36
Paul Pogba,France,Midfielder,Juventus,83,68,72,78,80,71,79,21
Nabil Fekir,France,Midfielder,Real Betis,83,80,81,74,85,34,71,32
Marcos Acuña,Argentina,Defender,Sevilla,81,77,58,65,72,81,78,34
Luis Suárez,Uruguay,Forward,Grêmio,82,79,85,70,72,28,67,23
João Félix,Portugal,Forward,Chelsea,83,85,74,75,80,32,68,33
Mario Götze,Germany,Midfielder,PSV Eindhoven,83,76,69,82,81,41,71,32
Ben Foster,England,Goalkeeper,Wrexham,82,44,14,32,51,81,80,35
Gerard Piqué,Spain,Defender,Retired,83,60,45,63,66,84,78,29
James Rodríguez,Colombia,Midfielder,Al-Rayyan,82,60,67,83,79,55,68,18
Marek Hamšík,Slovakia,Midfielder,Trabzonspor,82,55,67,80,75,62,71,29
David Silva,Spain,Midfielder,Real Sociedad,83,64,63,86,85,52,71,39
Kieran Tierney,Scotland,Defender,Arsenal,81,82,45,66,74,84,79,22
Alex Telles,Brazil,Defender,Sevilla,82,75,58,72,77,80,76,39
Lucas Hernández,France,Defender,PSG,83,73,45,68,75,86,81,35
Sergio Ramos,Spain,Defender,Al-Ittihad,83,67,44,63,74,86,84,27
Gonzalo Higuaín,Argentina,Forward,Inter Miami,81,66,78,69,72,35,74,20
Leonardo Bonucci,Italy,Defender,Juventus,83,50,35,62,68,89,79,29
Jordi Alba,Spain,Defender,Barcelona,83,85,55,72,80,78,72,32
Isco,Spain,Midfielder,Sevilla,81,67,65,75,77,54,68,31
Franck Ribéry,France,Forward,Fiorentina,81,88,76,68,77,36,71,25
Santi Cazorla,Spain,Midfielder,Al-Sadd,81,68,61,75,79,56,67,31
Christian Pulisic,USA,Forward,Chelsea,82,86,72,78,80,32,69,31
André Schürrle,Germany,Forward,Retired,81,85,78,70,75,34,72,39
Ricardo Rodríguez,Switzerland,Defender,PSG,82,78,55,70,76,80,75,19
Alex Sandro,Brazil,Defender,Juventus,83,80,60,69,77,84,79,31
César Azpilicueta,Spain,Defender,Chelsea,82,66,45,63,70,87,77,38
Filipe Luís,Brazil,Defender,Flamengo,81,69,50,65,74,83,79,39
Antonio Valencia,Ecuador,Defender,Retired,81,86,52,56,68,81,80,18
Steven Gerrard,England,Midfielder,Retired,83,60,75,79,85,64,80,22
Thiago Alcântara,Spain,Midfielder,Liverpool,84,72,65,87,88,56,75,39
Yaya Touré,Ivory Coast,Midfielder,Retired,82,75,72,79,80,58,77,18
Marek Hamsik,Slovakia,Midfielder,Trabzonspor,82,55,67,80,75,62,71,34
David Alaba,Austria,Defender,Real Madrid,84,77,55,78,78,82,79,34
Nani,Portugal,Forward,Orlando City,81,85,76,75,78,34,69,35
Jack Wilshere,England,Midfielder,Retired,81,67,68,74,78,55,70,19
Radamel Falcao,Colombia,Forward,Rayo Vallecano,82,75,83,70,71,37,73,22
Fabio Cannavaro,Italy,Defender,Retired,83,58,40,60,65,89,80,39
Mario Mandžukić,Croatia,Forward,Retired,81,77,81,70,72,38,74,21
Kasper Schmeichel,Denmark,Goalkeeper,OGC Nice,81,57,21,39,47,85,80,23
Juan Mata,Spain,Midfielder,Manchester United,81,63,61,77,79,53,68,19
Michael Carrick,England,Midfielder,Retired,80,56,60,74,78,65,72,19
Bastian Schweinsteiger,Germany,Midfielder,Retired,83,62,71,81,78,64,77,26
David Luiz,Brazil,Defender,Flamengo,82,66,56,67,72,85,78,24
Thierry Henry,France,Forward,Retired,85,87,76,77,87,34,80,21
Javier Hernández,Mexico,Forward,LA Galaxy,81,85,81,72,73,41,71,30
Kaka,Brazil,Midfielder,Retired,85,79,75,81,83,40,77,28
Sergio Agüero,Argentina,Forward,Retired,85,79,84,78,77,38,78,22
Raul Jiménez,Mexico,Forward,Wolverhampton,81,75,79,68,75,40,71,29
Coutinho,Brazil,Midfielder,Aston Villa,83,71,70,79,82,43,72,28
Nicolas Otamendi,Argentina,Defender,Benfica,84,59,44,55,65,88,84,32
Victor Wanyama,Kenya,Midfielder,Montreal Impact,81,63,65,70,74,83,80,18
Philippe Coutinho,Brazil,Midfielder,Aston Villa,83,71,70,79,82,43,72,27
Thiago Silva,Brazil,Defender,Chelsea,85,60,50,60,67,90,82,22
Eden Hazard,Belgium,Forward,Real Madrid,85,77,79,81,83,49,74,35
Robert Snodgrass,Scotland,Midfielder,Retired,81,65,63,72,74,42,68,30
Wayne Rooney,England,Forward,Retired,85,75,86,79,83,38,80,33
Andrés Iniesta,Spain,Midfielder,Vissel Kobe,83,59,65,85,89,43,72,19
Arturo Vidal,Chile,Midfielder,Flamengo,82,75,74,70,77,85,84,31
Gerard Deulofeu,Spain,Forward,Udinese,82,91,72,74,81,34,72,25
Sami Khedira,Germany,Midfielder,Retired,82,67,70,78,79,74,75,21
Stephan El Shaarawy,Italy,Forward,AS Roma,82,91,72,76,82,33,71,22
Olivier Giroud,France,Forward,AC Milan,83,79,81,73,74,43,78,34
Danny Welbeck,England,Forward,Watford,81,80,74,72,73,33,69,26
Ben Mee,England,Defender,Burnley,82,57,34,48,58,88,85,34
Alvaro Morata,Spain,Forward,Atletico Madrid,84,80,85,72,75,39,78,29
Jack Harrison,England,Forward,Leeds United,81,87,72,71,81,37,72,23
Andreas Christensen,Denmark,Defender,Barcelona,84,71,46,63,68,86,81,36
Zlatan Ibrahimović,Sweden,Forward,Retired,85,81,85,75,82,34,79,36
Mauro Icardi,Argentina,Forward,Galatasaray,82,79,85,74,77,38,77,21
Matt Doherty,Republic of Ireland,Defender,Atlético Madrid,81,79,55,66,73,73,72,33
Jean Michaël Seri,Ivory Coast,Midfielder,Fulham,81,69,62,74,77,50,68,28
Willy Boly,France,Defender,Nottingham Forest,82,59,33,55,61,88,85,30
Harry Winks,England,Midfielder,Leicester City,81,65,61,78,81,47,69,32
Naby Keita,Guinea,Midfielder,Liverpool,82,79,68,78,81,60,71,39
Matt Targett,England,Defender,Aston Villa,81,68,54,64,72,76,73,28
Luca Modrić,Croatia,Midfielder,Real Madrid,88,74,78,92,89,66,64,25
Jannik Vestergaard,Denmark,Defender,Leicester City,81,58,34,50,58,86,85,23
Sandro Tonali,Italy,Midfielder,Newcastle United,83,66,60,75,77,75,80,22
Dusan Tadic,Serbia,Midfielder,Ajax,84,70,68,82,83,42,68,20
Theo Hernández,France,Defender,AC Milan,84,90,61,66,78,85,82,27
Fikayo Tomori,England,Defender,AC Milan,83,72,52,61,68,85,80,26
Nicolás Otamendi,Argentina,Defender,Benfica,84,58,44,53,64,88,82,18
Ibrahima Konaté,France,Defender,Liverpool,83,71,47,63,70,88,85,19
Hakim Ziyech,Morocco,Midfielder,Chelsea,83,78,72,80,82,42,65,29
André Gomes,Portugal,Midfielder,Everton,82,66,62,75,79,48,71,37
Suso,Spain,Forward,Sevilla,82,82,74,75,84,34,66,20
Emil Forsberg,Sweden,Midfielder,RB Leipzig,83,79,70,78,83,41,71,24
Angel Di María,Argentina,Forward,Juventus,84,81,76,81,85,45,70,39
Mikel Merino,Spain,Midfielder,Real Sociedad,84,67,69,75,81,75,82,26
Jonny Evans,Northern Ireland,Defender,Manchester United,81,56,38,50,58,85,83,21
Xherdan Shaqiri,Switzerland,Forward,Chicago Fire,81,83,73,75,84,30,67,38
Boubacar Kamara,France,Midfielder,Aston Villa,82,73,63,77,80,73,75,36
Ruben Loftus-Cheek,England,Midfielder,Chelsea,82,65,69,74,75,80,79,29
Wilfried Zaha,Ivory Coast,Forward,Crystal Palace,84,91,81,75,83,43,78,19
Jonas Hofmann,Germany,Midfielder,Borussia Mönchengladbach,82,84,74,77,83,37,70,37
Jamal Bhuyan,Bangladesh,Midfielder,Saif SC,70,65,60,75,70,60,65,25
Mahbubur Rahman,Bangladesh,Forward,Abahani Limited,71,68,63,70,67,45,72,21
Saad Uddin,Bangladesh,Defender,Abahani Limited,67,60,55,58,55,70,65,40
Imrul Kayes,Bangladesh,Forward,Abahani Limited,72,75,68,60,70,35,70,38
Mishu Ahmed,Bangladesh,Midfielder,Sheikh Jamal Dhanmondi Club,69,63,58,72,65,60,62,24
Rony Shahin,Bangladesh,Defender,Chittagong Abahani,65,58,54,60,50,70,63,30
Nasir Uddin Chowdhury,Bangladesh,Midfielder,Sheikh Jamal Dhanmondi Club,68,62,59,70,66,58,61,35
Mohammad Nayeem,Bangladesh,Forward,Saif SC,74,76,74,65,72,40,78,34
Rakib Hossain,Bangladesh,Defender,Abahani Limited,68,55,60,62,57,71,68,22
Sohag Gazi,Bangladesh,Defender,Chittagong Abahani,66,55,57,60,55,70,64,38
Shahriar Alam,Bangladesh,Midfielder,Sheikh Jamal Dhanmondi Club,67,60,59,66,62,61,63,32
Mohammad Shaheen,Bangladesh,Forward,Saif SC,70,72,67,65,68,39,71,31
Salahuddin Shahabuddin,Bangladesh,Defender,Chittagong Abahani,63,50,52,58,48,72,62,24
Ashraful Islam,Bangladesh,Forward,Abahani Limited,69,74,70,60,68,37,75,20
Zubair Ahmed,Bangladesh,Defender,Saif SC,65,52,50,55,49,71,60,37
Saifuddin Shafique,Bangladesh,Midfielder,Sheikh Jamal Dhanmondi Club,64,60,58,68,64,55,59,20
Farhad Reza,Bangladesh,Midfielder,Chittagong Abahani,66,62,60,67,62,58,62,26
Subrata Biswas,Bangladesh,Forward,Saif SC,72,75,72,68,70,38,77,33
Nashit Alam,Bangladesh,Midfielder,Abahani Limited,68,63,61,70,64,60,63,39
Shawon Hossain,Bangladesh,Defender,Sheikh Jamal Dhanmondi Club,64,50,55,58,48,72,61,19
Tariq Shakil,Bangladesh,Forward,Chittagong Abahani,71,74,70,64,69,40,73,37
Allison Hill,Croatia,Defender,Leeds United,82,82,67,75,82,56,77,25
Noah Rhodes,Nigeria,Goalkeeper,Al-Ahli,83,75,66,69,75,57,74,34
Angie Henderson,Austria,Goalkeeper,Espanyol,83,80,61,76,65,63,72,18
Daniel Wagner,Georgia,Goalkeeper,Benfica,85,79,72,67,81,48,67,39
Cristian Santos,Republic of Ireland,Midfielder,Aston Villa,82,86,70,77,71,60,72,33
Connie Lawrence,Morocco,Defender,Santos,84,76,62,74,77,66,75,37
Mr Jason Harrison,England,Goalkeeper,Borussia Mönchengladbach,77,76,62,71,79,51,70,39
Christian Toussaint,Belgium,Goalkeeper,OGC Nice,77,71,70,63,79,56,78,18
Brandon Davis,Uruguay,Defender,Rayo Vallecano,87,68,61,76,78,49,82,30
Lindsey Roman,Ecuador,Forward,Fiorentina,88,69,67,76,78,59,73,33
Kimberly Dudley,Chile,Forward,Wolverhampton,79,82,77,74,78,62,79,35
Juan Calderon,Morocco,Forward,Nottingham Forest,85,75,74,80,81,54,65,40
Shannon Ray,Morocco,Goalkeeper,LA Galaxy,85,73,63,75,81,61,69,30
Alonso Goñi Mancebo,Spain,Defender,Borussia Mönchengladbach,81,74,61,69,74,62,76,39
Dr. Sharon James,Poland,Goalkeeper,Atlético Madrid,80,80,64,73,78,63,81,39
Roy Martin,Algeria,Midfielder,Rayo Vallecano,80,77,71,63,73,52,74,39
Michael Miles,Denmark,Midfielder,Roma,88,74,72,72,71,50,89,37
Rafael Rocha,Portugal,Midfielder,Juventus,86,77,64,77,69,59,84,38
Noah Constant,Belgium,Goalkeeper,Tottenham,84,70,65,66,77,52,74,24
William Bowman,Nigeria,Goalkeeper,Inter Miami,78,70,62,67,78,51,74,24
Melinda Cameron,Cameroon,Midfielder,LA Galaxy,80,70,63,73,72,63,66,32
Crystal Johnson,Nigeria,Midfielder,Fiorentina,81,77,67,62,75,54,73,26
Gracia Leal Batalla,Spain,Forward,Real Sociedad,88,71,65,75,75,59,69,33
Tommy Walter,Northern Ireland,Defender,Bayer Leverkusen,81,74,65,59,82,67,78,19
Matthew Foster,Republic of Ireland,Midfielder,Real Madrid,81,78,65,68,86,59,72,36
Judy Baker,Morocco,Midfielder,Tottenham,80,76,68,74,79,55,77,19
Justin Baker,Serbia,Goalkeeper,Borussia Mönchengladbach,87,77,73,72,76,65,76,29
Stephanie Ross,Austria,Defender,Sevilla,80,65,70,62,82,57,77,28
Zachary Hicks,USA,Defender,Atletico Madrid,82,71,63,80,67,58,71,18
Zoe Guzman Fernandez,Argentina,Goalkeeper,Ajax,84,60,62,71,80,70,71,24
Michael Carlson,Kenya,Midfielder,Manchester City,77,78,62,72,73,59,70,33
Jade van Mare,Netherlands,Forward,Tottenham,81,82,72,81,66,66,72,34
Jeannine de Bazin,France,Defender,Fulham,86,76,72,75,77,56,76,33
Melanie Herrera,Uruguay,Midfielder,Galatasaray,79,69,67,73,81,54,75,29
Tristan-Jean Marie,France,Midfielder,Santos,80,76,66,75,79,60,71,37
Christopher Smith,Scotland,Defender,Burnley,80,79,66,78,81,58,74,22
